venue_id,venue_name,city_id,aud_capacity
20001,Stade de Bordeaux,10003,42115
20002,Stade Bollaert-Delelis,10004,38223
20003,Stade Pierre Mauroy,10005,49822
20004,Stade de Lyon,10006,58585
20005,Stade VElodrome,10007,64354
20006,Stade de Nice,10008,35624
20007,Parc des Princes,10001,47294
20008,Stade de France,10002,80100
20009,Stade Geoffroy Guichard,10009,42000
20010,Stadium de Toulouse,10010,33150
