Datetime,Open,High,Low,Close,Adj Close,Volume
2021-03-05 09:30:00-05:00,623.5999755859375,623.9299926757812,623.5999755859375,623.6799926757812,623.6799926757812,2426492
2021-03-05 09:31:00-05:00,623.6199951171875,623.989990234375,618.5700073242188,620.4868774414062,620.4868774414062,389167
2021-03-05 09:32:00-05:00,620.239990234375,620.5,617.6199951171875,617.9000244140625,617.9000244140625,250706
2021-03-05 09:33:00-05:00,618.2100219726562,620.9998779296875,617.02001953125,619.3250122070312,619.3250122070312,338063
2021-03-05 09:34:00-05:00,619.2449951171875,619.2449951171875,612.3394165039062,613.0198974609375,613.0198974609375,331267
2021-03-05 09:35:00-05:00,612.6749877929688,614.3900146484375,607.9500122070312,609.260009765625,609.260009765625,378662
2021-03-05 09:36:00-05:00,609.1500244140625,613.909912109375,608.27001953125,611.6416015625,611.6416015625,333544
2021-03-05 09:37:00-05:00,611.3955078125,611.3955078125,606.0999755859375,607.3200073242188,607.3200073242188,305084
2021-03-05 09:38:00-05:00,607.2000122070312,610.02001953125,604.1599731445312,607.2899780273438,607.2899780273438,369628
2021-03-05 09:39:00-05:00,607.489990234375,608.2100219726562,596.0,599.5800170898438,599.5800170898438,723873
2021-03-05 09:40:00-05:00,599.52001953125,605.7651977539062,599.4299926757812,605.7651977539062,605.7651977539062,527925
2021-03-05 09:41:00-05:00,605.97998046875,605.97998046875,600.1199951171875,600.625,600.625,318723
2021-03-05 09:42:00-05:00,600.4727172851562,604.4000244140625,597.1599731445312,597.739990234375,597.739990234375,436126
2021-03-05 09:43:00-05:00,597.22998046875,604.47998046875,597.0599975585938,603.4199829101562,603.4199829101562,376260
2021-03-05 09:44:00-05:00,603.3900146484375,607.0,602.3099975585938,605.9763793945312,605.9763793945312,341641
2021-03-05 09:45:00-05:00,605.77001953125,606.489990234375,601.989990234375,604.0001220703125,604.0001220703125,268363
2021-03-05 09:46:00-05:00,604.1099853515625,606.25,599.02001953125,604.7109985351562,604.7109985351562,301323
2021-03-05 09:47:00-05:00,604.8900146484375,609.0,604.6959838867188,607.8900146484375,607.8900146484375,332855
2021-03-05 09:48:00-05:00,607.6500244140625,608.0,602.2301025390625,603.469482421875,603.469482421875,260270
2021-03-05 09:49:00-05:00,603.760009765625,604.7000122070312,593.510009765625,594.469970703125,594.469970703125,525314
2021-03-05 09:50:00-05:00,594.3499755859375,598.6699829101562,590.8300170898438,595.0302734375,595.0302734375,489754
2021-03-05 09:51:00-05:00,595.2374877929688,598.1799926757812,593.4600219726562,597.0999755859375,597.0999755859375,315599
2021-03-05 09:52:00-05:00,597.072509765625,601.47998046875,596.0,596.27001953125,596.27001953125,339917
2021-03-05 09:53:00-05:00,597.2899780273438,598.0999755859375,593.1259155273438,594.510009765625,594.510009765625,308329
2021-03-05 09:54:00-05:00,594.1400146484375,596.1599731445312,591.3200073242188,591.4752197265625,591.4752197265625,275795
2021-03-05 09:55:00-05:00,591.9400024414062,594.7999877929688,587.1799926757812,587.580810546875,587.580810546875,578375
2021-03-05 09:56:00-05:00,587.220703125,589.5,586.1599731445312,586.5057983398438,586.5057983398438,401925
2021-03-05 09:57:00-05:00,586.7037963867188,587.0986938476562,581.3300170898438,583.3701782226562,583.3701782226562,569129
